,index,ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y,address
1137,1,518 SERANGOON NORTH AVENUE 4 HDB PUBLIC SHELTERS SINGAPORE 550518,518,HDB PUBLIC SHELTERS,1.37164173642374,103.874102220779,103.874102220779,550518,SERANGOON NORTH AVENUE 4,HDB PUBLIC SHELTERS,32538.7224520668,39294.7285286598,518 Serangoon North Avenue 4
1138,2,518 SERANGOON NORTH AVENUE 4 PCF SPARKLETOTS PRESCHOOL @ JALAN KAYU Blk 518 (KN) SINGAPORE 550518,518,PCF SPARKLETOTS PRESCHOOL @ JALAN KAYU Blk 518 (KN),1.37164172903283,103.874102228394,103.874102228394,550518,SERANGOON NORTH AVENUE 4,PCF SPARKLETOTS PRESCHOOL @ JALAN KAYU Blk 518 (KN),32538.72329957,39294.7277114242,518 Serangoon North Avenue 4
1139,0,429 WOODLANDS STREET 41 HDB-WOODLANDS SINGAPORE 730429,429,HDB-WOODLANDS,1.42661684900236,103.772948569562,103.772948569562,730429,WOODLANDS STREET 41,HDB-WOODLANDS,21281.7092583767,45373.6477094386,429 Woodlands Street 41
1140,0,206 PETIR ROAD HDB-BUKIT PANJANG SINGAPORE 670206,206,HDB-BUKIT PANJANG,1.3737338271505,103.774113802084,103.774113802084,670206,PETIR ROAD,HDB-BUKIT PANJANG,21411.2347989542,39526.1042907779,206 Petir Road
1141,0,357 CLEMENTI AVENUE 2 HDB-CLEMENTI SINGAPORE 120357,357,HDB-CLEMENTI,1.31408279564088,103.769202736616,103.769202736616,120357,CLEMENTI AVENUE 2,HDB-CLEMENTI,20864.5200997588,32930.2081902511,357 Clementi Avenue 2
1142,0,514 BUKIT BATOK STREET 52 GUILIN BREEZE SINGAPORE 650514,514,GUILIN BREEZE,1.35446819446253,103.752589182658,103.752589182658,650514,BUKIT BATOK STREET 52,GUILIN BREEZE,19015.7359149571,37395.8768007346,514 Bukit Batok Street 52
1143,0,498H TAMPINES STREET 45 HDB-TAMPINES SINGAPORE 526498,498H,HDB-TAMPINES,1.36295791496807,103.957515257339,103.957515257339,526498,TAMPINES STREET 45,HDB-TAMPINES,41821.6364995923,38334.8333626129,498H Tampines Street 45
1144,0,686A CHOA CHU KANG CRESCENT HDB-CHOA CHU KANG SINGAPORE 681686,686A,HDB-CHOA CHU KANG,1.40438956727534,103.74785640306,103.74785640306,681686,CHOA CHU KANG CRESCENT,HDB-CHOA CHU KANG,18489.2292113383,42915.9528104402,686A Choa Chu Kang Crescent
1145,0,470 CHOA CHU KANG AVENUE 3 HDB-CHOA CHU KANG SINGAPORE 680470,470,HDB-CHOA CHU KANG,1.37817751599487,103.737107245589,103.737107245589,680470,CHOA CHU KANG AVENUE 3,HDB-CHOA CHU KANG,17292.8758044207,40017.5994425379,470 Choa Chu Kang Avenue 3
1146,0,508 WEST COAST DRIVE WEST COAST VISTA SINGAPORE 120508,508,WEST COAST VISTA,1.31165973523807,103.761761494233,103.761761494233,120508,WEST COAST DRIVE,WEST COAST VISTA,20036.3729312635,32662.3009089362,508 West Coast Drive
1147,0,20 TELOK BLANGAH CRESCENT MOUNT FABER VIEW SINGAPORE 090020,20,MOUNT FABER VIEW,1.27691594809879,103.821818722889,103.821818722889,090020,TELOK BLANGAH CRESCENT,MOUNT FABER VIEW,26720.1576010171,28820.4011118375,20 Telok Blangah Crescent
1148,0,273D COMPASSVALE LINK ATRINA SINGAPORE 544273,273D,ATRINA,1.38414098951188,103.894443272414,103.894443272414,544273,COMPASSVALE LINK,ATRINA,34802.3989398112,40676.8813785352,273D Compassvale Link
1149,0,115A HO CHING ROAD MULTI STOREY CAR PARK SINGAPORE 611115,115A,MULTI STOREY CAR PARK,1.33402856865914,103.724539364065,103.724539364065,611115,HO CHING ROAD,MULTI STOREY CAR PARK,15894.0060076718,35135.8854400087,115 Ho Ching Road
1150,1,115 HO CHING ROAD HDB-TAMAN JURONG SINGAPORE 610115,115,HDB-TAMAN JURONG,1.33367081421696,103.724659608331,103.724659608331,610115,HO CHING ROAD,HDB-TAMAN JURONG,15907.3862120183,35096.3261235971,115 Ho Ching Road
1151,0,324 TAH CHING ROAD HDB-TAMAN JURONG SINGAPORE 610324,324,HDB-TAMAN JURONG,1.33637566586901,103.723450457483,103.723450457483,610324,TAH CHING ROAD,HDB-TAMAN JURONG,15772.8334922934,35395.4212931897,324 Tah Ching Road
1152,1,324 TAH CHING ROAD HDB PUBLIC SHELTERS SINGAPORE 610324,324,HDB PUBLIC SHELTERS,1.33637959148298,103.723444766506,103.723444766506,610324,TAH CHING ROAD,HDB PUBLIC SHELTERS,15772.2001650032,35395.8553966135,324 Tah Ching Road
1153,0,406 SIN MING AVENUE SIN MING GARDEN SINGAPORE 570406,406,SIN MING GARDEN,1.36294455374691,103.834093500169,103.834093500169,570406,SIN MING AVENUE,SIN MING GARDEN,28086.2396044037,38332.9997281581,406 Sin Ming Avenue
1154,0,26 TECK WHYE LANE TECK WHYE HEIGHTS II SINGAPORE 680026,26,TECK WHYE HEIGHTS II,1.37762112372225,103.755740001262,103.755740001262,680026,TECK WHYE LANE,TECK WHYE HEIGHTS II,19366.4690820065,39956.0007056594,26 Teck Whye Lane
1155,0,115B YISHUN RING ROAD CHONG PANG GARDEN SINGAPORE 762115,115B,CHONG PANG GARDEN,1.43339605588678,103.82711777039,103.82711777039,762115,YISHUN RING ROAD,CHONG PANG GARDEN,27309.9437621138,46123.1710661109,115B Yishun Ring Road
1156,1,115B YISHUN RING ROAD PCF SPARKLETOTS PRESCHOOL @ CHONG PANG 115B (CC) SINGAPORE 762115,115B,PCF SPARKLETOTS PRESCHOOL @ CHONG PANG 115B (CC),1.43344153477204,103.827060237241,103.827060237241,762115,YISHUN RING ROAD,PCF SPARKLETOTS PRESCHOOL @ CHONG PANG 115B (CC),27303.5412057868,46128.1999099981,115B Yishun Ring Road
1157,0,223 TAMPINES STREET 24 HDB-TAMPINES SINGAPORE 521223,223,HDB-TAMPINES,1.35538208693625,103.953212028424,103.953212028424,521223,TAMPINES STREET 24,HDB-TAMPINES,41342.7783521066,37497.1108266637,223 Tampines Street 24
1158,0,507 JELAPANG ROAD HDB-BUKIT PANJANG SINGAPORE 670507,507,HDB-BUKIT PANJANG,1.3865556709328,103.767999746703,103.767999746703,670507,JELAPANG ROAD,HDB-BUKIT PANJANG,20730.8541108856,40943.8972979989,507 Jelapang Road
1159,1,507 JELAPANG ROAD New Life Children & Student Care SINGAPORE 670507,507,New Life Children & Student Care,1.3865556690167,103.767999747519,103.767999747519,670507,JELAPANG ROAD,New Life Children & Student Care,20730.8542016904,40943.897086123,507 Jelapang Road
1160,0,507 PASIR RIS STREET 52 ELIAS PARKS ESTATE SINGAPORE 510507,507,ELIAS PARKS ESTATE,1.3766268067994,103.94458886029,103.94458886029,510507,PASIR RIS STREET 52,ELIAS PARKS ESTATE,40383.0077388122,39846.2024142723,507 Pasir Ris Street 52
1161,0,523 ANG MO KIO AVENUE 5 HDB-ANG MO KIO SINGAPORE 560523,523,HDB-ANG MO KIO,1.37294193595454,103.852866402032,103.852866402032,560523,ANG MO KIO AVENUE 5,HDB-ANG MO KIO,30175.4332429417,39438.4682170711,523 Ang Mo Kio Avenue 5
1162,0,22 HAIG ROAD HAIG VISTA SINGAPORE 430022,22,HAIG VISTA,1.31379131490543,103.89522868303,103.89522868303,430022,HAIG ROAD,HAIG VISTA,34890.002989991,32897.9714558013,22 Haig Road
1163,0,47 TEBAN GARDENS ROAD HDB-JURONG EAST SINGAPORE 600047,47,HDB-JURONG EAST,1.32012627849171,103.739888486506,103.739888486506,600047,TEBAN GARDENS ROAD,HDB-JURONG EAST,17602.1471004063,33598.5692501105,47 Teban Gardens Road
1164,0,759 YISHUN STREET 72 HDB-YISHUN SINGAPORE 760759,759,HDB-YISHUN,1.42624600707614,103.833233454885,103.833233454885,760759,YISHUN STREET 72,HDB-YISHUN,27990.5270035305,45332.5537154488,759 Yishun Street 72
1165,0,249 BISHAN STREET 22 HDB-BISHAN SINGAPORE 570249,249,HDB-BISHAN,1.36124091092246,103.843772589725,103.843772589725,570249,BISHAN STREET 22,HDB-BISHAN,29163.4089511338,38144.6220886167,249 Bishan Street 22
1166,1,249 BISHAN STREET 22 HDB PUBLIC SHELTERS SINGAPORE 570249,249,HDB PUBLIC SHELTERS,1.36124091064872,103.843772590269,103.843772590269,570249,BISHAN STREET 22,HDB PUBLIC SHELTERS,29163.4090116708,38144.6220583487,249 Bishan Street 22
1167,2,249 BISHAN STREET 22 DIVINITY ESPECIAL NEEDS INTERVENTION CENTRE SINGAPORE 570249,249,DIVINITY ESPECIAL NEEDS INTERVENTION CENTRE,1.36114689488209,103.843966049555,103.843966049555,570249,BISHAN STREET 22,DIVINITY ESPECIAL NEEDS INTERVENTION CENTRE,29184.9388100967,38134.2263680007,249 Bishan Street 22
1168,0,219A JURONG EAST STREET 21 HDB-JURONG EAST SINGAPORE 601219,219A,HDB-JURONG EAST,1.34060750883164,103.737453992981,103.737453992981,601219,JURONG EAST STREET 21,HDB-JURONG EAST,17331.2995871539,35863.2922231219,219A Jurong East Street 21
1169,0,28 JALAN BUKIT MERAH BRICKWORKS ESTATE SINGAPORE 152028,28,BRICKWORKS ESTATE,1.28640350234514,103.809741989834,103.809741989834,152028,JALAN BUKIT MERAH,BRICKWORKS ESTATE,25376.1230391153,29869.4950875919,28 Jalan Bukit Merah
1170,0,226 JURONG EAST STREET 21 HDB-JURONG EAST SINGAPORE 600226,226,HDB-JURONG EAST,1.34140471346949,103.735843456176,103.735843456176,600226,JURONG EAST STREET 21,HDB-JURONG EAST,17152.0674491593,35951.450237941,226 Jurong East Street 21
1171,0,262B COMPASSVALE STREET COMPASSVALE NORTH GATE SINGAPORE 542262,262B,COMPASSVALE NORTH GATE,1.39510005315114,103.895470505301,103.895470505301,542262,COMPASSVALE STREET,COMPASSVALE NORTH GATE,34916.685034874,41888.6827471089,262B Compassvale Street
1172,0,652 SENJA LINK HDB-BUKIT PANJANG SINGAPORE 670652,652,HDB-BUKIT PANJANG,1.38744862342635,103.763847246671,103.763847246671,670652,SENJA LINK,HDB-BUKIT PANJANG,20268.7369430506,41042.6486833673,652 Senja Link
