ADD_SEQ,ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y,address
1,630 WOODLANDS RING ROAD HDB-WOODLANDS SINGAPORE 730630,630,HDB-WOODLANDS,1.4345974,103.8015011,103.8015011,730630,WOODLANDS RING ROAD,HDB-WOODLANDS,24459.19579,46256.03341,630 WOODLANDS RING RD
0,784 YISHUN AVENUE 2 KHATIB VALE SINGAPORE 760784,784,KHATIB VALE,1.421856387,103.8338588,103.8338588,760784,YISHUN AVENUE 2,KHATIB VALE,28060.11973,44847.1717,784 YISHUN AVE 2
0,302 SERANGOON AVENUE 2 CHUAN VILLAGE SINGAPORE 550302,302,CHUAN VILLAGE,1.353180211,103.8671195,103.8671195,550302,SERANGOON AVENUE 2,CHUAN VILLAGE,31761.66352,37253.33467,302 SERANGOON AVE 2
0,517A WOODLANDS DRIVE 14 FRAGRANT WOODS SINGAPORE 731517,517A,FRAGRANT WOODS,1.434151094,103.7915085,103.7915085,731517,WOODLANDS DRIVE 14,FRAGRANT WOODS,23347.16777,46206.70092,517 WOODLANDS DR 14
1,517 WOODLANDS DRIVE 14 FRAGRANT WOODS SINGAPORE 730517,517,FRAGRANT WOODS,1.433829949,103.7916798,103.7916798,730517,WOODLANDS DRIVE 14,FRAGRANT WOODS,23366.23385,46171.19001,517 WOODLANDS DR 14
0,608A WOODLANDS RING ROAD MULTI STOREY CAR PARK SINGAPORE 731608,608A,MULTI STOREY CAR PARK,1.436092386,103.7971669,103.7971669,731608,WOODLANDS RING ROAD,MULTI STOREY CAR PARK,23976.87211,46421.34863,608 WOODLANDS RING RD
1,608 WOODLANDS RING ROAD HDB-WOODLANDS SINGAPORE 730608,608,HDB-WOODLANDS,1.436219683,103.7964961,103.7964961,730608,WOODLANDS RING ROAD,HDB-WOODLANDS,23902.22236,46435.4256,608 WOODLANDS RING RD
2,608 WOODLANDS RING ROAD SWEETLANDS CHILDCARE WOODLANDS 608 PTE. LTD. SINGAPORE 730608,608,SWEETLANDS CHILDCARE WOODLANDS 608 PTE. LTD.,1.436219677,103.7964961,103.7964961,730608,WOODLANDS RING ROAD,SWEETLANDS CHILDCARE WOODLANDS 608 PTE. LTD.,23902.22351,46435.425,608 WOODLANDS RING RD
0,234 SERANGOON AVENUE 3 HDB-SERANGOON ESTATE SINGAPORE 550234,234,HDB-SERANGOON ESTATE,1.354799538,103.8695343,103.8695343,550234,SERANGOON AVENUE 3,HDB-SERANGOON ESTATE,32030.40006,37432.39549,234 SERANGOON AVE 3
0,75B REDHILL ROAD SINGAPORE 152075,75B,NIL,1.288480938,103.8158788,103.8158788,152075,REDHILL ROAD,75B REDHILL ROAD SINGAPORE 152075,26059.09763,30099.20169,75B REDHILL RD
0,967 HOUGANG AVENUE 9 HDB-HOUGANG SINGAPORE 530967,967,HDB-HOUGANG,1.378183076,103.8786414,103.8786414,530967,HOUGANG AVENUE 9,HDB-HOUGANG,33043.86886,40018.0459,967 HOUGANG AVE 9
0,641B PUNGGOL DRIVE THE MEADOWS SINGAPORE 822641,641B,THE MEADOWS,1.398792102,103.9166252,103.9166252,822641,PUNGGOL DRIVE,THE MEADOWS,37270.91201,42297.00396,641B PUNGGOL DR
0,307 CLEMENTI AVENUE 4 CLEMENTI MEADOWS SINGAPORE 120307,307,CLEMENTI MEADOWS,1.321415897,103.7671055,103.7671055,120307,CLEMENTI AVENUE 4,CLEMENTI MEADOWS,20631.13799,33741.07146,307 CLEMENTI AVE 4
0,403 CHOA CHU KANG AVENUE 3 HDB-CHOA CHU KANG SINGAPORE 680403,403,HDB-CHOA CHU KANG,1.379494093,103.7388875,103.7388875,680403,CHOA CHU KANG AVENUE 3,HDB-CHOA CHU KANG,17491.00476,40163.17207,403 CHOA CHU KANG AVE 3
0,317C ANCHORVALE ROAD HDB-SENGKANG SINGAPORE 543317,317C,HDB-SENGKANG,1.393459985,103.8882235,103.8882235,543317,ANCHORVALE ROAD,HDB-SENGKANG,34110.19095,41707.31218,317C ANCHORVALE RD
0,76 BEDOK NORTH ROAD HDB-BEDOK SINGAPORE 460076,76,HDB-BEDOK,1.328296665,103.9420675,103.9420675,460076,BEDOK NORTH ROAD,HDB-BEDOK,40102.65363,34502.07952,76 BEDOK NTH RD
1,76 BEDOK NORTH ROAD PCF SPARKLETOTS PRESCHOOL @ FENGSHAN 76 (CC) SINGAPORE 460076,76,PCF SPARKLETOTS PRESCHOOL @ FENGSHAN 76 (CC),1.328306499,103.9420657,103.9420657,460076,BEDOK NORTH ROAD,PCF SPARKLETOTS PRESCHOOL @ FENGSHAN 76 (CC),40102.44941,34503.16681,76 BEDOK NTH RD
0,312 ANG MO KIO AVENUE 3 TECK GHEE EVERGREEN SINGAPORE 560312,312,TECK GHEE EVERGREEN,1.366200368,103.8487784,103.8487784,560312,ANG MO KIO AVENUE 3,TECK GHEE EVERGREEN,29720.48913,38693.01663,312 ANG MO KIO AVE 3
0,475A SEMBAWANG DRIVE SINGAPORE 751475,475A,NIL,1.451195606,103.816927,103.816927,751475,SEMBAWANG DRIVE,475A SEMBAWANG DRIVE SINGAPORE 751475,26175.88235,48091.36163,475 SEMBAWANG DR
1,475 SEMBAWANG DRIVE HDB-SEMBAWANG SINGAPORE 750475,475,HDB-SEMBAWANG,1.450897307,103.8170816,103.8170816,750475,SEMBAWANG DRIVE,HDB-SEMBAWANG,26193.08268,48058.37706,475 SEMBAWANG DR
0,768A BEDOK RESERVOIR VIEW LONGVALE SINGAPORE 471768,768A,LONGVALE,1.335885092,103.9373358,103.9373358,471768,BEDOK RESERVOIR VIEW,LONGVALE,39576.02842,35341.14753,768 BEDOK RESERVOIR VIEW
1,768 BEDOK RESERVOIR VIEW LONGVALE SINGAPORE 470768,768,LONGVALE,1.335664343,103.9373217,103.9373217,470768,BEDOK RESERVOIR VIEW,LONGVALE,39574.45419,35316.73822,768 BEDOK RESERVOIR VIEW
0,112 TECK WHYE LANE HDB-CHOA CHU KANG SINGAPORE 680112,112,HDB-CHOA CHU KANG,1.377485451,103.7519213,103.7519213,680112,TECK WHYE LANE,HDB-CHOA CHU KANG,18941.4947,39941.01291,112 TECK WHYE LANE
0,359B ADMIRALTY DRIVE SINGAPORE 752359,359B,NIL,1.449632055,103.8150841,103.8150841,752359,ADMIRALTY DRIVE,359B ADMIRALTY DRIVE SINGAPORE 752359,25970.79663,47918.47357,359 ADMIRALTY DR
1,359 ADMIRALTY DRIVE SUN BLISS SINGAPORE 750359,359,SUN BLISS,1.449708196,103.8158652,103.8158652,750359,ADMIRALTY DRIVE,SUN BLISS,26057.71342,47926.89216,359 ADMIRALTY DR
2,359A ADMIRALTY DRIVE SUN BLISS SINGAPORE 751359,359A,SUN BLISS,1.449663177,103.8155449,103.8155449,751359,ADMIRALTY DRIVE,SUN BLISS,26022.06811,47921.91443,359 ADMIRALTY DR
3,359B ADMIRALTY DRIVE SUN BLISS SINGAPORE 752359,359B,SUN BLISS,1.449399859,103.815132,103.815132,752359,ADMIRALTY DRIVE,SUN BLISS,25976.11799,47892.79845,359 ADMIRALTY DR
4,359C ADMIRALTY DRIVE SUN BLISS SINGAPORE 753359,359C,SUN BLISS,1.449124937,103.8147139,103.8147139,753359,ADMIRALTY DRIVE,SUN BLISS,25929.59125,47862.39929,359 ADMIRALTY DR
0,157 LORONG 1 TOA PAYOH HDB-TOA PAYOH SINGAPORE 310157,157,HDB-TOA PAYOH,1.332206263,103.8454529,103.8454529,310157,LORONG 1 TOA PAYOH,HDB-TOA PAYOH,29350.41951,34934.11994,157 LOR 1 TOA PAYOH
1,157 LORONG 1 TOA PAYOH NEW HORIZON CENTRE (TOA PAYOH) SINGAPORE 310157,157,NEW HORIZON CENTRE (TOA PAYOH),1.332228699,103.8455484,103.8455484,310157,LORONG 1 TOA PAYOH,NEW HORIZON CENTRE (TOA PAYOH),29361.05247,34936.60085,157 LOR 1 TOA PAYOH
2,157 LORONG 1 TOA PAYOH PCF SPARKLETOTS PRESCHOOL @ TOA PAYOH CENTRAL Blk 157 (KN) SINGAPORE 310157,157,PCF SPARKLETOTS PRESCHOOL @ TOA PAYOH CENTRAL Blk 157 (KN),1.332206257,103.8454529,103.8454529,310157,LORONG 1 TOA PAYOH,PCF SPARKLETOTS PRESCHOOL @ TOA PAYOH CENTRAL Blk 157 (KN),29350.41981,34934.1193,157 LOR 1 TOA PAYOH
0,236 YISHUN RING ROAD HDB-YISHUN SINGAPORE 760236,236,HDB-YISHUN,1.43416808,103.8389989,103.8389989,760236,YISHUN RING ROAD,HDB-YISHUN,28632.13864,46208.53743,236 YISHUN RING RD
1,236 YISHUN RING ROAD After School Adventure Club (Yishun) SINGAPORE 760236,236,After School Adventure Club (Yishun),1.43403212,103.8388242,103.8388242,760236,YISHUN RING ROAD,After School Adventure Club (Yishun),28612.69173,46193.5036,236 YISHUN RING RD
0,354D ADMIRALTY DRIVE HDB-SEMBAWANG SINGAPORE 754354,354D,HDB-SEMBAWANG,1.450783882,103.8186449,103.8186449,754354,ADMIRALTY DRIVE,HDB-SEMBAWANG,26367.05242,48045.83392,354D ADMIRALTY DR
0,104A TOH YI DRIVE SINGAPORE 596562,104A,NIL,1.336875125,103.7712233,103.7712233,596562,TOH YI DRIVE,104A TOH YI DRIVE SINGAPORE 596562,21089.44884,35450.4628,10 TOH YI DR
1,100A TOH YI DRIVE SINGAPORE 596557,100A,NIL,1.337179084,103.7712621,103.7712621,596557,TOH YI DRIVE,100A TOH YI DRIVE SINGAPORE 596557,21093.77175,35484.07295,10 TOH YI DR
2,104 TOH YI DRIVE SINGAPORE 596562,104,NIL,1.336942056,103.7712207,103.7712207,596562,TOH YI DRIVE,104 TOH YI DRIVE SINGAPORE 596562,21089.16002,35457.86375,10 TOH YI DR
3,102 TOH YI DRIVE SINGAPORE 596560,102,NIL,1.336937408,103.7709902,103.7709902,596560,TOH YI DRIVE,102 TOH YI DRIVE SINGAPORE 596560,21063.50918,35457.35047,10 TOH YI DR
4,100 TOH YI DRIVE SINGAPORE 596556,100,NIL,1.337133627,103.7709905,103.7709905,596556,TOH YI DRIVE,100 TOH YI DRIVE SINGAPORE 596556,21063.54423,35479.0474,10 TOH YI DR
5,100B TOH YI DRIVE SINGAPORE 596558,100B,NIL,1.337111807,103.7712676,103.7712676,596558,TOH YI DRIVE,100B TOH YI DRIVE SINGAPORE 596558,21094.37835,35476.63377,10 TOH YI DR
6,108 TOH YI DRIVE SINGAPORE 596565,108,NIL,1.336644166,103.7710933,103.7710933,596565,TOH YI DRIVE,108 TOH YI DRIVE SINGAPORE 596565,21074.9835,35424.92495,10 TOH YI DR
7,106 TOH YI DRIVE SINGAPORE 596564,106,NIL,1.336730381,103.7711493,103.7711493,596564,TOH YI DRIVE,106 TOH YI DRIVE SINGAPORE 596564,21081.21834,35434.45797,10 TOH YI DR
8,10 TOH YI DRIVE TOH YI GARDENS SINGAPORE 590010,10,TOH YI GARDENS,1.337539566,103.7731611,103.7731611,590010,TOH YI DRIVE,TOH YI GARDENS,21305.10753,35523.92798,10 TOH YI DR
9,101C TOH YI DRIVE TOH YI COURT SINGAPORE 596559,101C,TOH YI COURT,1.336554024,103.771959,103.771959,596559,TOH YI DRIVE,TOH YI COURT,21171.33121,35414.9551,10 TOH YI DR
0,554A WOODLANDS DRIVE 53 MULTI STOREY CAR PARK SINGAPORE 731554,554A,MULTI STOREY CAR PARK,1.432552145,103.7962428,103.7962428,731554,WOODLANDS DRIVE 53,MULTI STOREY CAR PARK,23874.02159,46029.88808,554 WOODLANDS DR 53
1,554 WOODLANDS DRIVE 53 HDB-WOODLANDS SINGAPORE 730554,554,HDB-WOODLANDS,1.432104164,103.7964908,103.7964908,730554,WOODLANDS DRIVE 53,HDB-WOODLANDS,23901.62351,45980.35213,554 WOODLANDS DR 53
0,123A LORONG 1 TOA PAYOH TOA PAYOH VIEW SINGAPORE 311123,123A,TOA PAYOH VIEW,1.338347354,103.8460319,103.8460319,311123,LORONG 1 TOA PAYOH,TOA PAYOH VIEW,29414.85417,35613.17068,123 LOR 1 TOA PAYOH
1,123 LORONG 1 TOA PAYOH TOA PAYOH VIEW SINGAPORE 310123,123,TOA PAYOH VIEW,1.338649018,103.8457038,103.8457038,310123,LORONG 1 TOA PAYOH,TOA PAYOH VIEW,29378.34775,35646.52691,123 LOR 1 TOA PAYOH
