STN_NAME,STN_NO,LINE_SEQ,X,Y,Latitude,Longitude,COLOR,Line,Current,ready by 2019,ready by 2020,ready by 2021,ready by 2023,ready by 2024,ready by 2025,ready by 2029
MARINA BAY MRT STATION,NS27,27,30368.2057,28766.3819,1.276427355,103.8545925,RED,North South Line,1,,,,,,,
RAFFLES PLACE MRT STATION,NS26,26,30019.1805,29617.6126,1.284125611,103.8514572,RED,North South Line,1,,,,,,,
CITY HALL MRT STATION,NS25,25,30144.2851,30591.8478,1.292936243,103.852581,RED,North South Line,1,,,,,,,
DHOBY GHAUT MRT STATION,NS24,24,29424.1448,31229.3143,1.298701307,103.8461119,RED,North South Line,1,,,,,,,
SOMERSET MRT STATION,NS23,23,28640.656,31401.6698,1.300260055,103.8390737,RED,North South Line,1,,,,,,,
ORCHARD MRT STATION,NS22,22,27880.1256,31813.1134,1.303981012,103.8322417,RED,North South Line,1,,,,,,,
NEWTON MRT STATION,NS21,21,28519.3616,32735.2072,1.3123201,103.8379841,RED,North South Line,1,,,,,,,
NOVENA MRT STATION,NS20,20,29169.3298,33633.1535,1.320440791,103.8438228,RED,North South Line,1,,,,,,,
BUKIT BATOK MRT STATION,NS2,2,18679.3541,36795.0141,1.349034109,103.74959,RED,North South Line,1,,,,,,,
TOA PAYOH MRT STATION,NS19,19,29578.4408,34980.8638,1.332628987,103.8474979,RED,North South Line,1,,,,,,,
BRADDELL MRT STATION,NS18,18,29500.0972,35848.0687,1.340471684,103.8467942,RED,North South Line,1,,,,,,,
BISHAN MRT STATION,NS17,17,29649.8988,36994.433,1.350838988,103.8481398,RED,North South Line,1,,,,,,,
ANG MO KIO MRT STATION,NS16,16,29848.9836,39040.9896,1.369347304,103.8499283,RED,North South Line,1,,,,,,,
ANG MO KIO MRT STATION,NS16,16,29807.2655,39105.772,1.369933175,103.8495535,RED,North South Line,1,,,,,,,
YIO CHU KANG MRT STATION,NS15,15,29294.1283,40413.082,1.381756046,103.8449439,RED,North South Line,1,,,,,,,
KHATIB MRT STATION,NS14,14,27962.3108,44352.568,1.41738337,103.83298,RED,North South Line,1,,,,,,,
YISHUN MRT STATION,NS13,13,28187.6787,45686.0701,1.429443081,103.8350045,RED,North South Line,1,,,,,,,
SEMBAWANG MRT STATION,NS11,11,26522.9883,47854.1998,1.449050821,103.8200504,RED,North South Line,1,,,,,,,
ADMIRALTY MRT STATION,NS10,10,24402.1063,46918.1131,1.440585001,103.8009982,RED,North South Line,1,,,,,,,
JURONG EAST MRT STATION,NS1,1,17869.0806,35038.9472,1.33315262,103.7423112,RED,North South Line,1,,,,,,,
BOON KENG MRT STATION,NE9,9,31157.0712,33517.6089,1.319395706,103.861679,PURPLE,North East Line,1,,,,,,,
FARRER PARK MRT STATION,NE8,8,30321.3596,32739.6107,1.31235984,103.8541717,PURPLE,North East Line,1,,,,,,,
LITTLE INDIA MRT STATION,NE7,7,29817.1982,32124.8312,1.307198223,103.8485807,PURPLE,North East Line,1,,,,,,,
DHOBY GHAUT MRT STATION,NE6,6,29354.3681,31340.3479,1.299705459,103.8454851,PURPLE,North East Line,1,,,,,,,
CLARKE QUAY MRT STATION,NE5,5,29473.1249,30088.7038,1.288386024,103.8465519,PURPLE,North East Line,1,,,,,,,
CHINATOWN MRT STATION,NE4,4,29124.9585,29643.4786,1.284359578,103.8434242,PURPLE,North East Line,1,,,,,,,
OUTRAM PARK MRT STATION,NE3,3,28696.2602,29135.382,1.308382639,103.8886482,PURPLE,North East Line,1,,,,,,,
PUNGGOL MRT STATION,NE17,17,35651.3846,42933.2694,1.404546728,103.902052,PURPLE,North East Line,1,,,,,,,
SENGKANG MRT STATION,NE16,16,34918.274,41512.1277,1.391694626,103.8954664,PURPLE,North East Line,1,,,,,,,
BUANGKOK MRT STATION,NE15,15,34655.3132,40537.2069,1.382877858,103.8931042,PURPLE,North East Line,1,,,,,,,
HOUGANG MRT STATION,NE14,14,34572.8759,39256.1311,1.371292292,103.8923636,PURPLE,North East Line,1,,,,,,,
KOVAN MRT STATION,NE13,13,33758.7578,38027.2795,1.360179171,103.8850503,PURPLE,North East Line,1,,,,,,,
SERANGOON MRT STATION,NE12,12,32480.0726,36869.3924,1.349707875,103.8735637,PURPLE,North East Line,1,,,,,,,
WOODLEIGH MRT STATION,NE11,11,32173.3186,35706.3794,1.339190046,103.8708081,PURPLE,North East Line,1,,,,,,,
POTONG PASIR MRT STATION,NE10,10,31977.1677,34842.7289,1.331379525,103.869046,PURPLE,North East Line,1,,,,,,,
HARBOURFRONT MRT STATION,NE1,1,26678.3445,27555.0595,1.26547264,103.821446,PURPLE,North East Line,1,,,,,,,
ALJUNIED MRT STATION,EW9,9,33518.6049,33190.002,1.316432612,103.882893,GREEN,East West Line,1,,,,,,,
PAYA LEBAR MRT STATION,EW8,8,34648.6773,33375.7341,1.318112082,103.8930446,GREEN,East West Line,1,,,,,,,
EUNOS MRT STATION,EW7,7,35782.9553,33560.0776,1.319778952,103.9032339,GREEN,East West Line,1,,,,,,,
KEMBANGAN MRT STATION,EW6,6,36862.1237,33699.3568,1.321038249,103.9129282,GREEN,East West Line,1,,,,,,,
BEDOK MRT STATION,EW5,5,38757.952,34024.7048,1.323979969,103.9299587,GREEN,East West Line,1,,,,,,,
TANAH MERAH MRT STATION,EW4,4,40578.8616,34379.4144,1.327187135,103.9463161,GREEN,East West Line,1,,,,,,,
TUAS LINK MRT STATION,EW33,33,6138.3115,35848.0658,1.340463766,103.6369324,GREEN,East West Line,1,,,,,,,
TUAS WEST ROAD MRT STATION,EW32,32,6442.6401,34689.7988,1.329989089,103.6396662,GREEN,East West Line,1,,,,,,,
TUAS CRESCENT MRT STATION,EW31,31,7495.531,33698.6818,1.321026553,103.6491245,GREEN,East West Line,1,,,,,,,
GUL CIRCLE MRT STATION,EW30,30,8772.8552,33530.3675,1.319505215,103.6605988,GREEN,East West Line,1,,,,,,,
SIMEI MRT STATION,EW3,3,41360.6138,36150.3959,1.343202895,103.9533387,GREEN,East West Line,1,,,,,,,
JOO KOON MRT STATION,EW29,29,10756.3543,34438.2764,1.327717173,103.6784167,GREEN,East West Line,1,,,,,,,
