,rank_2018,primary_school_name,total_vacancy,percentage_balance_vacancy,balance_vacancy,primary_school_name_clean,index,ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y
44,45, Canberra Primary School ,167,20.50%, 43/210, Canberra Primary School ,0,21 ADMIRALTY DRIVE CANBERRA PRIMARY SCHOOL SINGAPORE 757714,21,CANBERRA PRIMARY SCHOOL,1.45130467584564,103.815839476605,103.815839476605,757714,ADMIRALTY DRIVE,CANBERRA PRIMARY SCHOOL,26054.8552722549,48103.4229366668
45,46, Singapore Chinese Girls’ Primary School ,166,17.00%, 34/200, Singapore Chinese Girl Primary School ,0,60 DUNEARN ROAD SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL (JAN 2018 - DEC 2019) SINGAPORE 309434,60,SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL (JAN 2018 - DEC 2019),1.3203941615946,103.82994776728,103.82994776728,309434,DUNEARN ROAD,SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL (JAN 2018 - DEC 2019),27624.8619136792,33627.9952693246
46,47, Punggol View Primary School ,166,48.10%, 154/320, Punggol View Primary School ,0,9 PUNGGOL PLACE PUNGGOL VIEW PRIMARY SCHOOL SINGAPORE 828845,9,PUNGGOL VIEW PRIMARY SCHOOL,1.40514582647964,103.905156371376,103.905156371376,828845,PUNGGOL PLACE,PUNGGOL VIEW PRIMARY SCHOOL,35994.5599585734,42999.5250743851
47,48, Admiralty Primary School ,164,21.90%, 46/210, Admiralty Primary School ,0,11 WOODLANDS CIRCLE ADMIRALTY PRIMARY SCHOOL SINGAPORE 738907,11,ADMIRALTY PRIMARY SCHOOL,1.44263479033113,103.800040119743,103.800040119743,738907,WOODLANDS CIRCLE,ADMIRALTY PRIMARY SCHOOL,24296.6250855932,47144.7700594757
48,49, Chij Primary (Toa Payoh) ,163,22.40%, 47/210, Chij Primary (Toa Payoh) ,0,628 LORONG 1 TOA PAYOH CHIJ PRIMARY (TOA PAYOH) SINGAPORE 319765,628,CHIJ PRIMARY (TOA PAYOH),1.33275264711591,103.841847263786,103.841847263786,319765,LORONG 1 TOA PAYOH,CHIJ PRIMARY (TOA PAYOH),28949.1537291817,34994.5345916767
49,50, Jurong Primary School ,160,23.80%, 50/210, Jurong Primary School ,0,320 JURONG EAST STREET 32 JURONG PRIMARY SCHOOL SINGAPORE 609476,320,JURONG PRIMARY SCHOOL,1.3486002031607,103.733156560251,103.733156560251,609476,JURONG EAST STREET 32,JURONG PRIMARY SCHOOL,16853.0771883987,36747.1039994862
50,51, Qifa Primary School ,158,34.20%, 82/240, Qifa Primary School ,0,50 WEST COAST AVENUE QIFA PRIMARY SCHOOL SINGAPORE 128104,50,QIFA PRIMARY SCHOOL,1.31325147892085,103.756743208641,103.756743208641,128104,WEST COAST AVENUE,QIFA PRIMARY SCHOOL,19477.8902518759,32838.32442878
51,52, Raffles Girls’ Primary School ,156,42.20%, 114/270, Raffles Girl Primary School ,0,21 HILLCREST ROAD RAFFLES GIRLS' PRIMARY SCHOOL SINGAPORE 289072,21,RAFFLES GIRLS' PRIMARY SCHOOL,1.32940426000123,103.806442915912,103.806442915912,289072,HILLCREST ROAD,RAFFLES GIRLS' PRIMARY SCHOOL,25009.0146507304,34624.3017604034
52,53, West Spring Primary School ,155,35.40%, 85/240, West Spring Primary School ,0,60 BUKIT PANJANG RING ROAD WEST SPRING PRIMARY SCHOOL SINGAPORE 679946,60,WEST SPRING PRIMARY SCHOOL,1.38944145898946,103.766195711835,103.766195711835,679946,BUKIT PANJANG RING ROAD,WEST SPRING PRIMARY SCHOOL,20530.0971989511,41262.998938933
53,54, Springdale Primary School ,155,42.60%, 115/270, Springdale Primary School ,0,71 ANCHORVALE LINK SPRINGDALE PRIMARY SCHOOL SINGAPORE 544799,71,SPRINGDALE PRIMARY SCHOOL,1.39467010299297,103.889926221247,103.889926221247,544799,ANCHORVALE LINK,SPRINGDALE PRIMARY SCHOOL,34299.6806921009,41841.1254489496
